,index,premise,hypothesis,true_label,response
6344,6344,"A female swimmer wearing a pink costume comes out of the water in a pool, making a splash.",There is a woman swimming.,1,0
6401,6401,A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman is hanging out with her kids,2,1
6552,6552,A man playing a large stringed instrument on the street.,There is a man entertaining outdoors.,1,0
6562,6562,Two girls stand in front of two men selling what appears to be concert merchandise while a woman holding a microphone interviews the men behind the merchandise counter.,people are standing in line at a concert,0,1
6566,6566,A young girl is laughing and chasing pigeons on the street where other people are walking nearby.,A young girl chases some birds.,2,0
6617,6617,Two men are sitting in a restaurant while one of them holds a piece of paper up to the camera.,He takes a photo of the piece of paper.,0,1
6763,6763,A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other.,The very differently dressed men sit next to each other,1,1
7026,7026,A man wearing a blue jacket fishing in a river having a conversation with his friend with no shirt.,"Men talking, while catching fish.",1,1
7215,7215,A man in a hard hat looks intimidated.,He is working in a potentially dangerous field that requires a hard hat.,0,1
7223,7223,"Children, including one with a painted face, pet tiny turtles that are crawling in the green grass.",Turtles are crawling in the white grass.,0,1
7242,7242,Two girls looking into camera and smiling,Two happy girls get their pictures taken.,1,0
7289,7289,Two friends having a laugh.,Two friends are having a picnic.,2,1
7332,7332,Elderly woman climbing up the stairs.,The old lady was walking.,1,1
7355,7355,"A woman in a blue uniform, with long curly red-hair, looking at her horse before the race.",The horse has four legs,0,1
7416,7416,"A young woman dressed up semi-formally is reading book and drinking in the sun, seated on a bench.",A young woman reads near the ocean.,0,1
7440,7440,A solo cyclist is riding down a windy road.,The cyclist falls down the windy road,1,1
7522,7522,Two men are fixing the side of an old brick building.,Construction workers at a job.,1,1
7539,7539,A man and women sleeping outside on a bench.,A man and women sleeping together outside on a park bench.,0,1
7562,7562,A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race.,A team of youths race to finish first in a relay race on a beach.,0,1
7586,7586,A dog opens its mouth to catch a blue and yellow toy.,A dog is running to catch a colorful ball,0,1
7705,7705,"A blond headed child in yellow boots and yellow jacket vest playing in the gravel with his pail, shovel and trucks.",A blonde girl is playing.,0,1
7711,7711,A woman in a white tennis outfit is jumping up to hit the ball.,women playing,1,0
7782,7782,A little boy with a red baseball cap is on a bus with boys with yellow baseball caps on.,There are people watching the bus pass by,2,1
7827,7827,The man walks among the large trees.,The mas is walking next to dogs.,2,1
7915,7915,A firefighter climbs up a ladder towards flames while surrounded by smoke.,The firefighter can't enter the building.,1,2
7972,7972,A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it.,A worker is on a break.,2,1
8172,8172,"two girls looking out the window at ""Hair at Hart.""",Two kids wait for their mom to finish her hair appointment.,0,1
8259,8259,A young male wearing a blue hat turned backwards and slightly sideways with a cigarette in his mouth.,A man is wearing a cowboy hat.,2,1
8275,8275,A man in a red shirt is learning how to climb a cliff.,A man is acquiring information.,1,0
8340,8340,A little girl in a pink dress crying.,An upset little girl is throwing a tantrum.,0,0
8405,8405,A man wearing an orange shirt and sunglasses jogging in a marathon with spectators spectating him.,A man competes in a long distance run.,1,0
8550,8550,A man in a business suit has just crossed the street.,The man is walking.,1,0
8719,8719,Politician John McCain on a talk show.,John McCain is hosting a talk show.,2,2
8852,8852,A black dog is swimming with a ball in his mouth.,A black dog found a ball in the water and is bring it back to its owner.,0,1
8977,8977,A man in an argyle shirt bends down to look at the goodies through the glass in an Asian shop.,The adult is shopping for a gift.,0,1
8986,8986,"A man in khakis sitting at a table with a sign that reads ""poet for hire.""",The male is a poet.,0,0
8986,8986,"A man in khakis sitting at a table with a sign that reads ""poet for hire.""",The male is a poet.,0,0
9078,9078,"Stretching high in the air, the player in the black shirt reaches for the football as the other stretches toward him to steal it away.",A football game is being played.,1,0
9186,9186,a man with a cap and not wearing shirt is laying a wooden bench.,A person rests on seat,1,1
9269,9269,A little kid in the middle of a debris field is kicking a soccer ball.,A boy is getting filthy while playing in the wreckage of a fallen building.,2,1
9270,9270,A little kid in the middle of a debris field is kicking a soccer ball.,A child is exercising among garbage.,2,0
9402,9402,A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo.,A boy alien dressed for summer in a green shirt and kahki shorts,0,2
9410,9410,A baseball player in the act of pick up a baseball with his hand.,A baseball player playing in a game.,0,1
9439,9439,A lab dog is standing on a fallen tree trunk with a guy in the background.,there is a guy carrying his pet with him near fallen tree,2,1
9479,9479,Swimming in the wide blue ocean.,The ocean swims in the blue wideness.,2,2
9488,9488,Three children in a black dog kennel.,There are dogs in the kennel.,2,1
9499,9499,Two people using a water buffalo to cultivate a watery field.,A couple is farming with their pet buffalo.,0,0
9606,9606,"The young girl is swinging on a swing, and her hair is flying out behind her.",A girl is playing outside on a swing.,1,0
9620,9620,A man in a striped shirt standing behind a large pile of fruits.,a man stands in front of a small banana pile,1,2
9660,9660,A golden dog bounds across the snow-covered hill.,A golden animal bounds across the snow-covered plateau.,1,1
9686,9686,"A man wearing black pants, an orange and brown striped shirt, and a black bandanna in a ""just thrown a bowling ball"" stance.",The bandana is expensive.,2,1
9730,9730,"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,0,1
9800,9800,A older man in a hat is playing a accordion on the street while sitting in a chair.,A busker is wearing a hat.,1,1
