index,premise,hypothesis,true_label,predicted_label
945,A tree worker with a hard hat is cutting down a branch.,The tree appears to be dead.,1,2
987,A Skier ski-jumping while two other skiers watch his act.,A skier down the road skiying,2,1
988,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,0,1
993,Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,The boy holds down his laughing nephew as his sister sprays him with water.,2,1
994,Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,The three girls hold the boy down while his girlfriend shoots water at him.,2,1
995,Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,There are five children.,0,2
1005,A group of kids play on a colorful structure.,A group of kids are outdoors.,1,0
1034,An African American man is posing in front of an E.S.E. Electronics advertisement billboard after purchasing items from the local liquor store.,Man takes a picture with advertiser after purchasing their brand of liquor at a store they are promoting.,1,0
1041,"A closeup view of a guitarist in a red shirt standing outside, with a group of children playing around him.",A male guitarist playing his intrument for children.,0,1
1047,A crowd walks about a square at night with smoke or fog drifting over them.,A group of people walk through tear gas.,1,2
1054,A schoolgirl is jumping over a low hurdle.,A girl tripped on herself before she attempt to jump over a hurdle.,2,1
1055,"A woman is seen from above applying red nail polish to her toes, as they rest on a leather seat.",The woman is sitting next to someone.,1,0
1065,A boy in the woods.,There is a small boy in the woods.,0,1
1077,A horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off.,The jockey is trying not to fall off the horse.,0,2
1087,A member of a Bergwacht team leads a sled laden with orange material while on skis as his colleague stands in the foreground.,A man is on on skis on the mountain.,1,0
1098,A bare chested smiling child plays in water.,There is a child getting naked in the water.,1,0
1099,A bare chested smiling child plays in water.,There is a naked child in the water.,1,0
1102,The two boys are swimming with boogie boards.,The two boys are swimming with their floats,0,2
1120,Three children are playing with an illuminated water art display.,Three children are swearing at an illuminated water art display,1,2
1126,A woman is in the middle of hitting a tennis ball.,A woman had a tennis racquet.,1,0
1152,A girl jumps in the air.,A jump roping girl.,1,0
1162,skateboarder sliding down a ramp,A skateboarder is taking pictures of himself with his phone.,1,2
1164,A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape.,A snowman is taking photos of his friends.,2,1
1169,kid holding handles on two wheeled object,The kid is riding a bike.,1,2
1173,There is a group of children getting their picture taken with presents.,Children opening presents.,0,2
1191,An expensive car is parked in what looks like a car-wash with a man standing at the open passenger door side.,The man is inside the car.,2,0
1203,A man in a market holding some very large green onions while smoking a cigarette.,A man is shopping in a grocery store.,1,2
1222,San Fransisco 49ers football field with cheerleaders and a packed stadium.,A popular football team in California has many fans.,1,0
1232,The firemen and women wearing blue gloves have finished working on a person who is lying on ground bandaged and draped in a blue blanket.,The firefighters are setting a fire.,2,1
1240,Indian men selling food items on the sidewalk,Men are buying food on the sidewalk.,2,1
1253,A man in aerodynamic gear riding a bicycle down a road around a sharp curve.,the man is going to the store,2,1
1254,Soldiers are holding guns and peeking around a building.,Soldiers are packing heat near a building.,0,2
1258,Three men in Soldier dress and helmets stand with guns outside of a building.,There are people avoiding traffic on a busy New York street.,2,1
1275,A tattooed man posing with a woman carrying a yellow handbag.,The couple poses together.,1,0
1279,"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside at a riding competition where they watch men compete.,2,1
1280,"People are all standing together in front of a statue of an animal, and they are all wearing cool-weather clothing.",A group of people looking at a statue.,0,1
1289,A man dances with a woman in a white egyptian costume.,A man is disguise as he dances with someone.,1,0
1336,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A guy bites into a freshly opened marshmallow chick,0,1
1350,"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",0,1
1356,A very dirty race car doing a burnout on some dirt.,A car that has no tires.,2,0
1405,3 girls chatting and laughing on the stairwell.,A group of girls are having fun.,1,0
1409,Shipyard workers are standing around.,Shipyard workers are unloading the ships,2,1
1413,A skateboarder getting ready to perform on a half-tube rink where there are trees in the background.,A skateboarder stands on top of a halfpipe about to jump down.,0,1
1423,A person crossing a bridge with train tracks.,There was a woman tip-toeing across the train tracks.,2,1
1427,A man in a black business suit stands upright next to a man wearing blue and leaning against a railing.,The man in the black suit is planning on robbing the man in blue next to him.,1,2
1429,A group of three people and one dog hike up a green mountainside.,Some people are exercising outside.,0,1
1430,A group of three people and one dog hike up a green mountainside.,People are racing up a hill.,1,2
1451,A man surfs on a medium sized wave while holding a paddle that seems to steer him in the direction he wants to go.,An extreme kayaker steers the treacherous waters,1,2
1455,Two men and a Frisbee,Two men playing with a Frisbee.,1,0
1474,Military personnel are shopping,People in the military are training.,2,1
1475,"Two black labs run, one carrying an orange dog toy.",The dogs are chasing a rabbit.,2,1
1487,A middle-aged man chef is in a white doorway of a mobile kitchen.,A chef is near a food truck.,1,2
1493,The man is sweeping with a red broom.,The man is sweeping dirt,0,1
1540,A man shows off his spider-web face paint.,A person shows some people his face painting.,0,1
1550,A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him.,The young boy is asleep while the woman is watching television.,1,2
1557,Sports team members practice and relax on a basketball court.,Team members of a sport is relaxing after practice.,0,1
1561,Pedestrians are gazing at a display of books set out on a sidewalk under a tree.,People are standing on a sidewalk.,1,0
1568,An Ambulance is passing a man wearing a bandanna and girl.,The ambulance isn't stopped by heavy traffic,0,1
1569,An Ambulance is passing a man wearing a bandanna and girl.,The man in the bandana is running after the ambulance,2,1
1571,A young boy runs across a road in front of a sky blue building with barred windows.,A boy runs across a road in front of an abandoned building.,0,1
1585,A bare-chested man fitting his head and arm into a toilet seat ring while spectators watch in a city.,A contortionist fits his head and arms through a toilet seat.,0,1
1598,The man is trying to make a pottery that he can market soon.,An old man is making pottery to sell.,0,1
1606,A man in a red shirt is sitting on top of a rocky mountain.,A rugged man sits atop a mountain.,1,0
1609,Young shirtless man and asian woman jump up from a shallow rock at the shore with boats moored in the background,A young man and an asian woman are near a dock on a bay.,1,0
1610,Bicyclist ride the course near the ocean as the day comes to an end.,The cyclist was riding near the ocean at sunset.,0,1
1620,A person taking pictures of a young brunette girl.,A child is taking pictures of an adult.,2,0
1621,A person taking pictures of a young brunette girl.,A photographer is working.,1,0
1623,A child stands in a shower with clothes on.,A child's clothes are full of mud in the shower,1,2
1638,A man and his son riding bikes down the sidewalk.,a man and a boy were riding bikes through town on the sidewalk,0,1
1642,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is in her 20s.,1,2
1668,"Three soccer players, two in orange one in yellow, running for the ball on a soccer field.",Some teams were playing ball in the field.,1,0
1677,A classroom of mostly women is being shown a presentation.,The college class of mostly females watched a presentation.,0,1
1695,A blond woman in a white shirt demonstrates her talents to a crowd.,The woman is a street performer.,0,1
1707,A man gets a skateboard up on a big rock.,The rock is on a skateboard.,2,0
1717,A man wearing black pants rides along a concrete ledge on rollerblades.,The roller blade wheels are square.,2,1
1722,Dog running through the snow.,A dog tries out frozen water.,2,1
1732,A man wearing a kilt has thrown a large pole.,A man is wearing a skirt.,0,2
1744,Six men in tuxedos stand next to a black metal fence outside the back doors of a marble building.,Sin men are in tuxedos,0,1
1752,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on his mouth.,A man is riding a unicycle.,2,0
1757,A young man waits on a bench with his bag behind a few advertisements in London.,A young man waits outdoors in London on a bench.,1,0
1761,Some children are playing soccer in front of a large wooden door.,The kids are enemies.,1,2
1770,The Sooner football player carrying the ball is trying to avoid being tackled.,A man has dropped a ball.,2,1
1779,A concert with a blue shirted boy in the front and light shining in the back,The moment the fan saw the light,2,1
1780,A concert with a blue shirted boy in the front and light shining in the back,The moment has it's fan,2,1
1782,A man in a shirt and tie speaks to a group as an older woman holding a cup of coffee looks on.,The man is wearing khakis.,1,2
1817,An Asian man is praying at a Buddhist temple.,The man is making noise and bothering others.,2,1
1821,A band performing at a local bar or club.,The band is playing music at a large venue,2,0
1838,A woman sits in a market where she sells goods with her dog.,A dog sells a woman a hat.,2,1
1839,A woman sits in a market where she sells goods with her dog.,A woman sells her wares in a busy market.,1,0
1841,Two workers with leaf blowers blow orange leaves off patches of grass next to a wet sidewalk.,Two workers with leaf blowers blow leaves at each other for  fun,2,1
1846,Africans are walking down a dirt road with straw huts in the background.,The  people are in Africa,1,0
1852,Workers wearing orange vests work on fence.,Guys working outside.,1,0
1856,A dark-skinned man wearing a green cap backwards on his head grins in a crowd.,The man in the green cap finds something funny.,0,1
1859,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing pants.,1,2
1865,Man chopping wood with an axe.,The man is outside.,0,1
1873,A young cowboy is riding bucking bronco in an arena.,A cowboy is riding a bronco outside.,0,2
1880,"A toddler, sitting next to another girl who is slightly older, is using a bubble machine to blow a large bubble into the air.",The bubble machine makes candy.,2,1
1895,Man with plaid shirt staring off into the distance.,Man stares at a painting in a museum.,1,2
1908,The guy in the black jacket is standing on his hand on a checkered rectangle.,A male is engaging in something acrobatic.,0,1
1915,A child buried in the sand.,The child is dead.,2,0
1927,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,0,2
1964,A small child is riding in a red wagon.,A kid is playing inside the house.,1,2
1967,A girl in a blue shirt hugging a girl also in a blue shirt.,Someone made one of the girls cry.,1,2
1981,"Three people wearing black blindfolds near a ""Salvar O Planeta"" sign.",they can all see,2,0
2014,A man is laid back in front of a tv.,a man is relaxing,0,1
2028,People hurrying to get to work in a busy city.,People waiting at a bus stop.,1,2
2031,An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is handling food containers.,1,0
2036,A lady in a blue and white tube top takes her own picture with a disposable camera while another lady with a bag flashes a piece sign in the background.,A lady is filming the party.,2,1
2042,"Woman in a blue dress and carrying a black purse, rides a scooter down the street.",the girl is wearing a black dress and a blue purse,2,0
2043,Boy with red shorts getting soaked with water.,A boy is getting splashed.,1,0
2046,A woman in a red shirt and white skirt playing tennis.,A woman is wearing a silk shirt.,1,2
2050,A tennis player in blue shorts and a white shirt making an aggressive backhand swing towards the tennis ball.,A person is standing on a tennis court.,1,2
2058,A nighttime street scene of a restaurant.,The restaurant is open at night.,0,1
2068,The man in the brown shirt is holding the hand of the long-haired child in front of a painting.,A male has clothes on with his hand holding another young male in front of a painting.,1,0
2080,"Man in dark shirt, yellow shorts and yellow bandanna leaps to catch a white frisbee on a soccer court.",a man is a t a soccor court,0,2
2081,"Female beach volleyball players on either side of a net, with one looking to spike the ball as her teammate watches with the blue sky in the background.",One player on the women's beach volleyball team jumps to spike the ball as her teammate looks on.,0,1
2086,Two dogs are playing catch in a field.,The two dogs are playing with a frisbee.,1,2
2095,Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,1,2
2143,A BMX rider is in midair while on a dirt trail.,The BMX rider is riding a two wheeled vehicle.,0,2
2152,A man in a colorful shirt and a lady in a white blouse sign copies of books for people.,Two people sign copies of their latest novel.,0,1
2160,Two men playing in a beautiful lake surrounded by mountains.,A couple people enjoy the water near the mountains.,1,0
2164,"Pretty spring trees are shown with a man standing with his hands on his hips, and a large tree trunk in the front of the picture.",A lumberjack harvesting massive redwoods.,1,2
2172,A person lies in a grassy area near a building.,A man is outside.,1,0
2186,"Two skateboarders, one wearing a black t-shirt and the other wearing a white t-shirt, race each other.",Two snowboarders race.,0,2
2190,A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,1,0
2204,A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,2,1
2207,A fighter jet plane is landed outside Notre Dame cathedral at night.,The fighter plane has no one inside of it.,1,2
2220,A man is painting a city scene on a canvas in the street.,A man is painting some dolphins.,1,2
2225,A train conductor in coveralls is standing in the door of the trail.,The conductor is walking in a field.,1,2
2226,A train conductor in coveralls is standing in the door of the trail.,A man is wearing coveralls.,1,0
2243,This off-roading driver has tipped his truck.,An off-roading truck was totalled.,1,0
2252,People shopping for vegetables at an outdoor market.,People shopping for veggies at a nice market.,1,0
2284,A lady in a white religious gown is being questioned by many people as she walks.,a princess in white dress was there in crowd,1,0
2326,A chef is cutting a piece of fish with a chefs knife.,The chef is dicing fish with his knife.,0,2
2328,A chef is cutting a piece of fish with a chefs knife.,The chef is preparing sushi.,1,2
2332,A female guitarist is playing on stage.,The woman is doing a solo piece at church.,1,2
2354,"Two middle-aged police officers watch over a parking lot, at night.",The officers are actually security guards.,2,1
2355,"Two middle-aged police officers watch over a parking lot, at night.",The mall cops patrol a store.,2,1
2357,A man in a black jacket standing beside a green mailbox thoroughly soiled by a group of pigeons that are nearby.,A man is outdoors,1,0
2436,Dog yawns,A yawning dog is tired and sleepy.,1,0
2449,A large black and white dog is licking a smaller white and black dog who is growling.,The dog is happy,2,1
2450,"A bicycle rider wearing racing gear pedals a yellow bike past the wire fence at the edge of a field, with a stand of trees in the background.",Someone was trying to take a shortcut home.,2,1
2466,A crowd of people in stadium style seating appear disinterested in the venue.,A group of people are unhappy to be at the stadium.,1,0
2477,A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A man approaches a woman's house on business.,1,2
2486,A boy is running in a spinning metal tunnel in the playground.,He is outside.,1,0
2487,A boy is running in a spinning metal tunnel in the playground.,He can carry the tunnel home.,2,1
2492,A man and a boy behind the wheel of a car.,The little boy and the man sit behind the car's steering wheel.,0,1
2498,A girl in a green coat walks down a rural road playing a flute,The country road has a walker wearing green.,0,2
2507,A nurse is listening to another women's heartbeat with a stethoscope.,A woman in the doctors office.,0,1
2510,A boy and a woman are on top of large rocks at sunset.,The sun is at its highest point of the day.,2,0
2511,A boy and a woman are on top of large rocks at sunset.,The faces of the people are visible,1,0
2540,"Two cars, one red and one blue, race each other in a very tight and competitive nature as fans stand by and watch.",The red and blue cars are racing for the finish line.,0,1
2558,Man racing a quad on a dirt racetrack.,A man races on a four wheeler in a charity event.,1,2
2578,Women enjoying a game of table tennis.,Women are playing ping pong.,0,2
2584,An elderly woman wearing a skirt is picking out vegetables at a local market.,This woman is on a shopping trip.,0,1
2609,The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,A rollerskater behind the pack.,1,0
2611,The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,A skater ahead of the competition in a race.,0,1
2627,people standing at a beach with Cameras.,People standing at a beach being filmed by cameras.,1,0
2628,people standing at a beach with Cameras.,A group of people standing at a beach filled with cameras.,1,0
2637,Two individuals use a photo kiosk,The people are together,1,0
2651,A large crowd is gathered outside and one woman is yelling.,A group of protestors engages with a woman inside an auditorium.,1,2
2683,Women wait under their umbrellas for customers at a fresh food market.,The umbrellas are open.,0,1
2687,A basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot.,The basketball player on the white team makes the basket.,2,0
2700,A man in a tank top fixing himself a hotdog.,the child was happy`,2,1
2701,A man in a tank top fixing himself a hotdog.,two girls were ther,2,0
2705,"A man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass.",The man is riding on the sidewalk.,1,2
2717,"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,1,2
2730,A scientist studies a slide in order to work on her new creation.,A scientist studies a slide that is related to her invention.,0,1
2731,A scientist studies a slide in order to work on her new creation.,A woman standing near a microscope.,1,0
2734,A small quaint town all lit up during the holiday season.,The town has snow on the ground.,1,2
2757,"A man and woman in formal attire are standing in a high grass meadow, posing for the photographer, and she has two of her fingers up on one hand behind his head.",A couple are having a photoshoot.,0,1
2783,A red truck is parked next to a burning blue building while a man in a green vest runs toward it.,The burning blue building smells of smoke,0,1
2801,A man wearing a hat and boots is digging for something in the snow.,A man is trying to get to something by digging.,1,0
2804,"Two people, one wearing an orange jersey and a white belt, and another wearing a blue jersey and a red belt are playing flag football.",Two people on oposite teams play flag football.,0,1
2819,Female in a military uniform with her hair tied back.,the female is wearing a ponytail,0,2
2821,Female in a military uniform with her hair tied back.,the female is wearing her hair up,0,2
2826,A woman in a striped shirt holds an infant.,A person is watching TV.,1,2
2848,The young boy in a red shirt and jeans resists his sister's request for water on the road.,Kids don't share water.,0,2
2859,Man and woman rowing on surfboards third rower in distance.,Couples rowing on surfboards.,0,1
2873,A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A man sits near a table with his drinks,1,0
2881,"There are two kilted men, one of them older and is holding bagpipes with the other one with a drum.",Two kiled men hold bagpipes,2,0
2885,A high school band getting ready to perform.,A high school band prepares to play in front of a large crowd.,0,1
2897,"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","In a dim room, several actors who can barely see each other, are getting ready to act.",0,1
2915,"Two dirt bike riders, one wearing green and the other wearing blue and white, are jumping a hill.",Two dirt bike riders are outside,1,0
2939,A kneeling man bends his ear to listen on another in front of a guitar and audio equipment.,Two men are composing together.,1,2
2971,Children are playing outside in a fountain.,Some children a outside playing near the water.,1,0
2973,Stick figures in the middle of the street.,A drawing of a street,2,1
2974,Stick figures in the middle of the street.,A painting of a stick figure,1,2
3013,A young man at a bowling alley posing on the scoring machine.,A young man is bowling.,1,0
3023,Two women competing in a roller derby with several teammates and referee in the background.,Two roller derby competitors skate quickly ahead of teammates.,0,1
3030,A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,There are people outdoors,1,0
3033,A band singing and playing electric guitar for a crowd of people.,A band is playing a concert.,0,1
3034,A band singing and playing electric guitar for a crowd of people.,The band is backstage.,2,1
3056,A mechanic for a race car team is working on the wheels of a race car.,The car took a pit stop with just a few laps to go.,1,2
3062,A man wearing a stocking hat and has a beard is looking at the camera with two women sitting on the couch next to him.,a man is taking pictures,0,1
3066,A boy on a bicycle in midair,A boy is falling off his bike.,1,2
3103,A couple look into the camera as the foreground is filled with balloons.,The couple is trying to figure out who the person across the street is who is holding the camera.,2,1
3106,Fireworks light up the night as a man stands on stage.,The man is throwing a concert outside,1,2
3113,Two men are laying floor tiles in a doorway.,Two men are being lazy.,2,1
3140,"A group of people on the bark, brightly lighten street, while one man with a gray hat holds a large colorful sign with arrows.",The people are walking down the street.,0,1
3152,Shirtless man with long pole navigates covered boat down a palm tree lined river past a hut.,A man without a shirt is on a river.,1,0
3153,Four African boys playing soccer.,Some boys are in the play ground,2,1
3155,Four African boys playing soccer.,Some boys are running behind a ball,0,1
3159,The hockey players and referee are preparing for a face-off.,The players and referee are getting ready to start the match.,1,0
3166,A man in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the woman is white,2,1
3172,"One girl sips a soda while another looks on, standing on a street in front of a bunch of bicycles.",A girl drinks a soda on the street in front of people,1,0
3174,Two young ladies walking down the street together.,The two women bundle up in winter coats as the blizzard sets in.,1,2
3195,A man holds a rope for a boy who's about to climb a wall.,There is a man climbing as the boy holds the rope,2,0
3206,Two scuba divers inspecting a large metal object in the water.,Two scuba divers are underwater.,0,2
3211,A female gymnast flies off of the lower bar and is suspended in the air with her feet pointed upward.,A gymnast is in mid air.,1,0
3222,One man in baseball cap looks out while two men look down.,Men are gazing.,1,0
