index,premise,hypothesis,true_label,predicted_label
397,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle.,the men are musicians,0,1
408,A guy and a girl look down a mountain range.,The people look into the sky.,2,0
416,A golden retriever nurses puppies.,Puppies next to their mother,0,1
427,A man wearing a red vest is walking past a black and green fence.,The man wearing the vest is walking down the street.,1,0
437,A standing man talks to a seated woman while on some sort of vehicle.,Three people are having a meeting.,2,0
456,Several men at a bar watch a sports game on the television.,The men are at a baseball game.,2,1
469,A crowded city street with lots of pedestrians.,There alot of motorcyclists on this road.,1,2
476,A group of people are in a rowboat in the ocean surrounded by seagulls.,A bunch of people are in a wooden object on the water.,1,0
485,Men sitting on the side of a brick road.,the side of the road is empty.,2,1
503,a man with a red headband climbing a rock cliff looming over greenery.,A man has on climbing gear.,1,0
509,A homeless man pushes an overfilled plastic blue shopping cart.,A man is collecting cans to recycle,1,2
512,an old shoemaker in his factory,The shoemaker is getting ready for his 16th birthday.,2,1
557,Boys with their backs against an incoming wave.,A group of people stand together.,0,2
558,Boys with their backs against an incoming wave.,A group of people sit on the beach.,1,2
560,Four boys are about to be hit by an approaching wave.,The wave missed the boys.,2,0
561,Four boys are about to be hit by an approaching wave.,A giant wave is about to crash on some boys.,0,1
573,A hockey player in helmet.,Players are wearing helmet.,1,0
575,A hockey player in helmet.,They are playing hockey,1,0
578,Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing a blue shirt.,1,0
596,A group of people stand near and on a large black square on the ground with some yellow writing on it.,a group of people stand,1,0
621,"A group of seven individuals wearing rafting gear, white water raft down a river.",There are people in an inflatable boat.,0,2
624,Two little boys wearing athletic jerseys are washing their hands in a public restroom.,The boys had unclean hands.,0,1
625,Two little boys wearing athletic jerseys are washing their hands in a public restroom.,They were playing soccer.,1,2
633,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,Two men sit outdoors in an urban area.,0,1
634,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,These two illiterate men convinced their dog to write a panhandling sign for them.,2,1
635,Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,Two research scientists conduct research in disguise.,1,2
661,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,People are buying food from a street vendor.,0,1
683,A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.,A boy swims while a seagull shits on the sand.,1,0
686,Here is a picture of people getting drunk at a house party.,Some people are by the side of a swimming pool partying.,1,2
699,A variety of people are sitting around a tale doing craft projects.,The people are creative.,1,0
701,A woman in black reviews a message as she walks to work.,The woman in black is being fired via text message.,1,2
702,A woman in black reviews a message as she walks to work.,The woman in black has a job.,0,1
704,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game.,A pitcher is playing baseball at a stadium,0,1
707,A family walking with a soldier.,A few people walk with a man in uniform.,1,0
722,"Three workers, with life vests and hard hats, on a boat hanging from cables over water.","Three lifeguards are haning from the boar, trying to save the dog from drowning.",1,2
727,A man in a plaid shirt looking through a telescope lens.,the man is watching the stars,1,2
730,"A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",There are children in the streets.,2,1
737,A young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti.,A young man in a blue hoodie falls off a half-wall that is painted nicely.,2,1
746,A crowd wearing orange cheering for their team in a stadium.,Fans cheering on their team at the big game.,0,1
755,A worker peers out from atop a building under construction.,A man is atop of a building.,1,0
763,two boys reading superhero books,Two boys watching a superhero show.,2,1
787,Two little kids without shirts are sitting down facing each other.,Two young children are playing with each other and giggling while playing with markers,1,2
794,a young boy using a field microscope to identify a field specimen during a field trip.,The boy is on a science field trip.,1,0
810,A person is sitting in front of a graffiti covered wall.,A person is sitting outside,1,0
819,A man with a long white beard is examining a camera and another man with a black shirt is in the background.,A man takes a picture of a woman,2,1
828,"A man is shooting a gun outdoors, on what looks like a beautiful sunny day.",A man is shooting a gun at targets on a nice day.,0,1
833,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Five men watch tv.,1,0
834,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Some guys are in a living room.,1,0
835,"Five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television.",Some people are at work.,2,1
840,"People seated at long tables all facing the same direction, some writing and some watching.",A group of people are sitting at the tables sharing a meal.,2,1
850,A group of cleaners are sweeping up animal feces from the street during a parade or festival.,A group of cleaners after a parade.,0,2
856,A car is loaded with items on the top.,The car is a convertible.,2,1
857,A man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water.,There are two guys above the water.,1,0
871,Two children and a woman climb up the stairs on a metal electric pole-like structure.,A woman and her kids climb up the stairs,1,0
875,"A man is sitting on the floor, sleeping.",A young man is sleeping while in the sitting position.,0,1
895,A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background.,The men are blackbelts.,2,0
905,A man is riding a bike along a dirt trail.,The man is riding a dirt bike.,1,0
906,A group of people in an alley looking at the camera.,People are hanging out together,1,0
931,A wet child stands in chest deep ocean water.,The child s playing on the beach.,0,1
988,A Skier ski-jumping while two other skiers watch his act.,A skier preparing a trick,0,1
993,Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,The boy holds down his laughing nephew as his sister sprays him with water.,2,1
995,Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,There are five children.,0,2
1041,"A closeup view of a guitarist in a red shirt standing outside, with a group of children playing around him.",A male guitarist playing his intrument for children.,0,1
1054,A schoolgirl is jumping over a low hurdle.,A girl tripped on herself before she attempt to jump over a hurdle.,2,1
1070,This person in a yellow kayak is riding the rapids.,This person is on a river,0,1
1073,A man in a mask in the back of a service vehicle.,A robber is in a police car.,1,2
1087,A member of a Bergwacht team leads a sled laden with orange material while on skis as his colleague stands in the foreground.,A man is on on skis on the mountain.,1,0
1098,A bare chested smiling child plays in water.,There is a child getting naked in the water.,1,0
1099,A bare chested smiling child plays in water.,There is a naked child in the water.,1,0
1112,People are standing next to a chain link fence.,The people are at a school.,1,2
1126,A woman is in the middle of hitting a tennis ball.,A woman had a tennis racquet.,1,0
1162,skateboarder sliding down a ramp,A skateboarder is taking pictures of himself with his phone.,1,2
1164,A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape.,A snowman is taking photos of his friends.,2,1
1169,kid holding handles on two wheeled object,The kid is riding a bike.,1,2
1189,A person is on a four wheeler kicking up a lot of dirt in a dune.,The person is riding a big wheel.,1,0
1196,Man in white sweater looks from his press box onto the pitch.,A man writes his sports story,2,1
1203,A man in a market holding some very large green onions while smoking a cigarette.,A man is shopping in a grocery store.,1,2
1222,San Fransisco 49ers football field with cheerleaders and a packed stadium.,A popular football team in California has many fans.,1,0
1253,A man in aerodynamic gear riding a bicycle down a road around a sharp curve.,the man is going to the store,2,1
1254,Soldiers are holding guns and peeking around a building.,Soldiers are packing heat near a building.,0,1
1258,Three men in Soldier dress and helmets stand with guns outside of a building.,There are people avoiding traffic on a busy New York street.,2,1
1275,A tattooed man posing with a woman carrying a yellow handbag.,The couple poses together.,1,0
1279,"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside at a riding competition where they watch men compete.,2,1
1336,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.,A guy bites into a freshly opened marshmallow chick,0,1
1346,An old man talks to a street performer wearing makeup with a pet monkey.,The man talks to his son the clown.,1,2
1350,"An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.","Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.",0,2
1391,Two young girls hang tinsel on a Christmas tree in a room with blue curtains.,Two girls are decorating their Christmas tree.,0,1
1405,3 girls chatting and laughing on the stairwell.,A group of girls are having fun.,1,0
1409,Shipyard workers are standing around.,Shipyard workers are unloading the ships,2,1
1413,A skateboarder getting ready to perform on a half-tube rink where there are trees in the background.,A skateboarder stands on top of a halfpipe about to jump down.,0,1
1423,A person crossing a bridge with train tracks.,There was a woman tip-toeing across the train tracks.,2,1
1429,A group of three people and one dog hike up a green mountainside.,Some people are exercising outside.,0,1
1430,A group of three people and one dog hike up a green mountainside.,People are racing up a hill.,1,2
1451,A man surfs on a medium sized wave while holding a paddle that seems to steer him in the direction he wants to go.,An extreme kayaker steers the treacherous waters,1,2
1475,"Two black labs run, one carrying an orange dog toy.",The dogs are chasing a rabbit.,2,1
1493,The man is sweeping with a red broom.,The man is sweeping dirt,0,1
1511,A patient is being worked on by doctors and nurses.,A man is at the doctor.,1,0
1540,A man shows off his spider-web face paint.,A person shows some people his face painting.,0,1
1550,A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him.,The young boy is asleep while the woman is watching television.,1,2
1561,Pedestrians are gazing at a display of books set out on a sidewalk under a tree.,People are standing on a sidewalk.,1,0
1566,A sungalsses vendor gazes into the distance.,A vendor stares into space.,0,2
1571,A young boy runs across a road in front of a sky blue building with barred windows.,A boy runs across a road in front of an abandoned building.,0,1
1584,A bare-chested man fitting his head and arm into a toilet seat ring while spectators watch in a city.,A man does magic tricks.,1,2
1598,The man is trying to make a pottery that he can market soon.,An old man is making pottery to sell.,0,1
1602,A young boy sits outside in a grassy field with his back turned towards the viewer- he is holding a wooden toy that can be spun between your hands and launched into the air.,A young boy has fun playing outdoors.,1,0
1606,A man in a red shirt is sitting on top of a rocky mountain.,A rugged man sits atop a mountain.,1,0
1610,Bicyclist ride the course near the ocean as the day comes to an end.,The cyclist was riding near the ocean at sunset.,0,1
1621,A person taking pictures of a young brunette girl.,A photographer is working.,1,0
1638,A man and his son riding bikes down the sidewalk.,a man and a boy were riding bikes through town on the sidewalk,0,1
1642,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is in her 20s.,1,2
1644,Three men are working with their bikes in the shoulder of a road.,The men are talking to each other on the side of the rode about their wives.,1,2
1668,"Three soccer players, two in orange one in yellow, running for the ball on a soccer field.",Some teams were playing ball in the field.,1,0
1677,A classroom of mostly women is being shown a presentation.,The college class of mostly females watched a presentation.,0,1
1682,"A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.",A woman holding her sleeping son while walking down the street.,2,1
1695,A blond woman in a white shirt demonstrates her talents to a crowd.,The woman is a street performer.,0,1
1707,A man gets a skateboard up on a big rock.,The rock is on a skateboard.,2,0
1717,A man wearing black pants rides along a concrete ledge on rollerblades.,The roller blade wheels are square.,2,1
1722,Dog running through the snow.,A dog tries out frozen water.,2,1
1732,A man wearing a kilt has thrown a large pole.,A man is wearing a skirt.,0,2
1750,"This is a twisting, turning roller coaster ride, filled with people.",The roller coaster ride is made from wood.,1,2
1752,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on his mouth.,A man is riding a unicycle.,2,0
1757,A young man waits on a bench with his bag behind a few advertisements in London.,A young man waits outdoors in London on a bench.,1,0
1771,The Sooner football player carrying the ball is trying to avoid being tackled.,A quarterback is holding a ball.,1,0
1776,"A group of people standing around smiling, and in the background are more people and handmade signs.",There are a few unhappy people here.,1,2
1779,A concert with a blue shirted boy in the front and light shining in the back,The moment the fan saw the light,2,1
1780,A concert with a blue shirted boy in the front and light shining in the back,The moment has it's fan,2,1
1787,Three women talk to each other next to another woman sitting on a motorcycle.,A group of women went for a motorcycle ride.,1,0
1816,An Asian man is praying at a Buddhist temple.,A man is practicing his religion.,0,1
1817,An Asian man is praying at a Buddhist temple.,The man is making noise and bothering others.,2,1
1821,A band performing at a local bar or club.,The band is playing music at a large venue,2,0
1837,A woman sits in a market where she sells goods with her dog.,A saleswoman in a market.,0,1
1841,Two workers with leaf blowers blow orange leaves off patches of grass next to a wet sidewalk.,Two workers with leaf blowers blow leaves at each other for  fun,2,1
1852,Workers wearing orange vests work on fence.,Guys working outside.,1,0
1856,A dark-skinned man wearing a green cap backwards on his head grins in a crowd.,The man in the green cap finds something funny.,0,1
1880,"A toddler, sitting next to another girl who is slightly older, is using a bubble machine to blow a large bubble into the air.",The bubble machine makes candy.,2,1
1891,An elderly man talking to a young boy by a table of produce.,the boy was listening,1,0
1915,A child buried in the sand.,The child is dead.,2,0
1924,A man is riding a bicycle in the street.,the man is chasing after his daughter,1,2
1927,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,0,2
1957,A dog and a cow play together inside the fence.,A dog and cow are chasing the horse.,2,1
1964,A small child is riding in a red wagon.,A kid is playing inside the house.,1,2
1967,A girl in a blue shirt hugging a girl also in a blue shirt.,Someone made one of the girls cry.,1,2
1981,"Three people wearing black blindfolds near a ""Salvar O Planeta"" sign.",they can all see,2,0
2005,A woman standing in front of a large tank at an aquarium turns around to look at the photographer.,A woman is looking at a phtographer,0,1
2013,"A young man wearing a hoodie, pants, and athletic shoes is sitting on a red lounge chair and watching hi-def tv.",Man sitting in a red chair flipping through tv channels.,0,1
2031,An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.,A woman is handling food containers.,1,0
2036,A lady in a blue and white tube top takes her own picture with a disposable camera while another lady with a bag flashes a piece sign in the background.,A lady is filming the party.,2,1
2043,Boy with red shorts getting soaked with water.,A boy is getting splashed.,1,0
2050,A tennis player in blue shorts and a white shirt making an aggressive backhand swing towards the tennis ball.,A person is standing on a tennis court.,1,2
2068,The man in the brown shirt is holding the hand of the long-haired child in front of a painting.,A male has clothes on with his hand holding another young male in front of a painting.,1,0
2079,"Man in dark shirt, yellow shorts and yellow bandanna leaps to catch a white frisbee on a soccer court.",a man is preaparing to play a game,1,0
2086,Two dogs are playing catch in a field.,The two dogs are playing with a frisbee.,1,2
2095,Many people have decided to take a rest on the steps.,The people are on the famous steps Rocky runs up in a training montage.,1,2
2105,A group of firemen and officials prepare to turn a car right side after a crash.,Some firemen are putting out a fire.,2,1
2107,A woman in an apron is looking for bread.,A woman is looking for bread in her kitchen cupboards.,1,2
2143,A BMX rider is in midair while on a dirt trail.,The BMX rider is riding a two wheeled vehicle.,0,2
2146,"Six males, four with shirts and two without, have taken a break from their construction work on a building.",A construction crew is sitting and standing next to a building.,1,0
2152,A man in a colorful shirt and a lady in a white blouse sign copies of books for people.,Two people sign copies of their latest novel.,0,1
2160,Two men playing in a beautiful lake surrounded by mountains.,A couple people enjoy the water near the mountains.,1,0
2164,"Pretty spring trees are shown with a man standing with his hands on his hips, and a large tree trunk in the front of the picture.",A lumberjack harvesting massive redwoods.,1,2
2172,A person lies in a grassy area near a building.,A man is outside.,1,0
2186,"Two skateboarders, one wearing a black t-shirt and the other wearing a white t-shirt, race each other.",Two snowboarders race.,0,2
2190,A smiling woman and man are seated in front of a microphone in a music studio.,the woman is happy.,1,0
2194,"A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.",A gymnast scanning a crowd for familiar faces.,0,1
2199,A woman stands smiling while holding a stuffed cat.,A female is posing for the camera.,1,0
2203,A child with blond-hair looking out of a screen door.,A kid looks out of a window.,2,0
2204,A child with blond-hair looking out of a screen door.,A child is being held by his mother at the mall.,2,1
2220,A man is painting a city scene on a canvas in the street.,A man is painting some dolphins.,1,2
2225,A train conductor in coveralls is standing in the door of the trail.,The conductor is walking in a field.,1,2
2226,A train conductor in coveralls is standing in the door of the trail.,A man is wearing coveralls.,1,0
2234,Four entertainers dressed in Roman style garb are performing at an outdoor theater.,Actors are on Broadway.,2,1
2242,This off-roading driver has tipped his truck.,A truck is on it's side.,0,2
2243,This off-roading driver has tipped his truck.,An off-roading truck was totalled.,1,0
2251,People shopping for vegetables at an outdoor market.,People shopping for veggies and fruit at a market.,0,1
2252,People shopping for vegetables at an outdoor market.,People shopping for veggies at a nice market.,1,0
2284,A lady in a white religious gown is being questioned by many people as she walks.,a princess in white dress was there in crowd,1,0
2328,A chef is cutting a piece of fish with a chefs knife.,The chef is preparing sushi.,1,2
2332,A female guitarist is playing on stage.,The woman is doing a solo piece at church.,1,2
2346,A woman getting her face painted for a parade.,the woman is on a float,1,2
2357,A man in a black jacket standing beside a green mailbox thoroughly soiled by a group of pigeons that are nearby.,A man is outdoors,1,0
2411,A man leads the way in a race.,The man is last place in the race.,2,1
2450,"A bicycle rider wearing racing gear pedals a yellow bike past the wire fence at the edge of a field, with a stand of trees in the background.",Someone was trying to take a shortcut home.,2,1
2466,A crowd of people in stadium style seating appear disinterested in the venue.,A group of people are unhappy to be at the stadium.,1,0
2477,A man looks mysterious in a blue shirt and a red truck for a company called Wilbert.,A man approaches a woman's house on business.,1,2
2486,A boy is running in a spinning metal tunnel in the playground.,He is outside.,1,0
2487,A boy is running in a spinning metal tunnel in the playground.,He can carry the tunnel home.,2,1
2488,Cityscape with four men on bikes serving as the focal point of picture.,Enjoy the town on foot or by bike.,1,0
2498,A girl in a green coat walks down a rural road playing a flute,The country road has a walker wearing green.,0,1
2507,A nurse is listening to another women's heartbeat with a stethoscope.,A woman in the doctors office.,0,1
2510,A boy and a woman are on top of large rocks at sunset.,The sun is at its highest point of the day.,2,1
2511,A boy and a woman are on top of large rocks at sunset.,The faces of the people are visible,1,0
2530,Very young boy is standing outside near a water fountain that is built into the ground and is squirting water.,The water sprays on the boy.,1,0
2540,"Two cars, one red and one blue, race each other in a very tight and competitive nature as fans stand by and watch.",The red and blue cars are racing for the finish line.,0,1
2578,Women enjoying a game of table tennis.,Women are playing ping pong.,0,2
2579,Women enjoying a game of table tennis.,One woman really sucks at playing ping pong.,1,2
2584,An elderly woman wearing a skirt is picking out vegetables at a local market.,This woman is on a shopping trip.,0,1
2609,The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,A rollerskater behind the pack.,1,0
2611,The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,A skater ahead of the competition in a race.,0,1
2621,Two oriental older women gathering rice from the fields.,Some Asian women are walking in the field of rice.,1,0
2627,people standing at a beach with Cameras.,People standing at a beach being filmed by cameras.,1,0
2628,people standing at a beach with Cameras.,A group of people standing at a beach filled with cameras.,1,0
2637,Two individuals use a photo kiosk,The people are together,1,0
2651,A large crowd is gathered outside and one woman is yelling.,A group of protestors engages with a woman inside an auditorium.,1,2
2683,Women wait under their umbrellas for customers at a fresh food market.,The umbrellas are open.,0,2
2685,Construction worker looking over the job site.,This worker is in charge of everyone,1,2
2687,A basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot.,The basketball player on the white team makes the basket.,2,1
2700,A man in a tank top fixing himself a hotdog.,the child was happy`,2,1
2701,A man in a tank top fixing himself a hotdog.,two girls were ther,2,0
2705,"A man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass.",The man is riding on the sidewalk.,1,2
2717,"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",The person is stealing display boards.,1,2
2718,"A man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",A man is buying a lottery ticket.,2,1
2729,A scientist studies a slide in order to work on her new creation.,A woman is reading.,2,0
2743,A mountainous photo is complete with a blue sky.,The photo was taken on a cloudy night.,2,1
2752,A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.,The person is marching in a parade.,1,2
2757,"A man and woman in formal attire are standing in a high grass meadow, posing for the photographer, and she has two of her fingers up on one hand behind his head.",A couple are having a photoshoot.,0,1
2783,A red truck is parked next to a burning blue building while a man in a green vest runs toward it.,The burning blue building smells of smoke,0,1
2801,A man wearing a hat and boots is digging for something in the snow.,A man is trying to get to something by digging.,1,0
2804,"Two people, one wearing an orange jersey and a white belt, and another wearing a blue jersey and a red belt are playing flag football.",Two people on oposite teams play flag football.,0,1
2809,"Indian musicians playing in the evening on a pillow, while life behind them continues.",The musicians are care free.,1,2
2819,Female in a military uniform with her hair tied back.,the female is wearing a ponytail,0,1
2826,A woman in a striped shirt holds an infant.,A person is watching TV.,1,2
2848,The young boy in a red shirt and jeans resists his sister's request for water on the road.,Kids don't share water.,0,2
2849,A woman with red-hair and large tattoo is sitting in a chair outside.,There's a lady with ginger hair,0,1
2873,A man in glasses and an orange shirt is sitting outside next to a table with drinks on it.,A man sits near a table with his drinks,1,0
2876,"A team of men, three in red shirts and two others in baseball jerseys, re-surface a baseball diamond with specialized tools.",A grounds crew maintain a park.,0,2
2881,"There are two kilted men, one of them older and is holding bagpipes with the other one with a drum.",Two kiled men hold bagpipes,2,0
2885,A high school band getting ready to perform.,A high school band prepares to play in front of a large crowd.,0,1
2896,"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","At a rock concert, the audience screams and cries at the handsome singer and his bass guitarist.",1,2
2900,A man wearing white turns to hit a yellow tennis ball.,Someone takes a swing at a ball.,0,1
2903,A hockey player in blue and red guarding the goal.,a hockey goalie earns his keep,1,0
2915,"Two dirt bike riders, one wearing green and the other wearing blue and white, are jumping a hill.",Two dirt bike riders are outside,1,0
2956,A man visiting a friend in the hospital.,A man sits on a hospital roof.,2,1
2971,Children are playing outside in a fountain.,Some children a outside playing near the water.,1,0
2973,Stick figures in the middle of the street.,A drawing of a street,2,1
2974,Stick figures in the middle of the street.,A painting of a stick figure,1,2
3003,A brown-haired woman in a blue shirt decorated with gold trimmings paints a picture of two windows.,A brunette lady wearing a blue shirts is painting the two windows she sees.,0,1
3013,A young man at a bowling alley posing on the scoring machine.,A young man is bowling.,1,0
3023,Two women competing in a roller derby with several teammates and referee in the background.,Two roller derby competitors skate quickly ahead of teammates.,0,1
3030,A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,There are people outdoors,1,0
3033,A band singing and playing electric guitar for a crowd of people.,A band is playing a concert.,0,1
3034,A band singing and playing electric guitar for a crowd of people.,The band is backstage.,2,1
3062,A man wearing a stocking hat and has a beard is looking at the camera with two women sitting on the couch next to him.,a man is taking pictures,0,1
3070,a brown dog coming out of an orange and yellow tunnel,A brown dog dancing out of a orange and yellow tunnel.,2,1
3103,A couple look into the camera as the foreground is filled with balloons.,The couple is trying to figure out who the person across the street is who is holding the camera.,2,1
3113,Two men are laying floor tiles in a doorway.,Two men are being lazy.,2,1
3140,"A group of people on the bark, brightly lighten street, while one man with a gray hat holds a large colorful sign with arrows.",The people are walking down the street.,0,1
3152,Shirtless man with long pole navigates covered boat down a palm tree lined river past a hut.,A man without a shirt is on a river.,1,0
3153,Four African boys playing soccer.,Some boys are in the play ground,2,1
3154,Four African boys playing soccer.,Some kids are watching soccer,2,1
3155,Four African boys playing soccer.,Some boys are running behind a ball,0,1
3159,The hockey players and referee are preparing for a face-off.,The players and referee are getting ready to start the match.,1,0
3166,A man in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the woman is white,2,1
3172,"One girl sips a soda while another looks on, standing on a street in front of a bunch of bicycles.",A girl drinks a soda on the street in front of people,1,0
3174,Two young ladies walking down the street together.,The two women bundle up in winter coats as the blizzard sets in.,1,2
3185,Everyone is getting ready to play the game.,People place their piece on a Monopoly board.,1,2
3195,A man holds a rope for a boy who's about to climb a wall.,There is a man climbing as the boy holds the rope,2,0
3203,Two girls in red life jackets lock oars on a river.,Two girls on a boat.,0,2
3211,A female gymnast flies off of the lower bar and is suspended in the air with her feet pointed upward.,A gymnast is in mid air.,1,0
3222,One man in baseball cap looks out while two men look down.,Men are gazing.,1,0
3226,Police are setting up a barricade due to a fire.,People in uniform are working near a fire.,1,0
3233,Two little boys are playing on stairs that have a carpet runner going down them.,Two little boys are pretending they are climbing a large mountain.,1,2
3250,A man is holding a book standing in front of a chalkboard.,A person is in a classroom teaching.,0,1
3255,"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",A man putts while his group talks to each other.,1,0
3266,A motorist gets some air over a rough hill.,A motorist is riding his bike.,0,2
3271,Many people who appear to be Asian stand in line at a train station waiting patiently for the next train.,some people standing,1,0
3287,A boy whiffs a ball with a bat.,The boy is playing baseball.,1,0
3329,"A man on a bike, with the sun beating down in the background, just launched off of a dirt ramp and is coming back down.",Cyclists competing in the Tour de France.,2,1
3338,Two people sitting on the sand.,There are two people at the beach.,1,0
3339,A man in a green shirt hovers above the ground in the laundry room.,The man appears to be suspended in midair.,0,2
3342,A woman in a black and white shirt is sitting in a chair with an animated expression on her face.,A woman in a black and white shirt is sitting in a chair with her eyes wide open.,1,0
3346,"Two men stand in a lift as four others, all dressed in black and bright yellow stripes, look up on them.",Six men dressed in black and yellow uniforms are standing in a gymnasium.,0,2
3349,Two musicians and a singer are on a stage performing a song.,The band members are playing in a dimly lit room.,1,2
3354,In a small village a Man sets sail along the Swamp.,A man hunting crocodiles,1,2
